axis_1	axis_2	id	name	party	info
-9.162381858653943	1.8704001866253963	0	Adrien Morenas	LREM	LREM
23.720798467627016	12.997411250577034	1	Adrien Quatennens	FI	FI
-5.201774066343333	7.083530622441144	2	Adrien Taquet	LREM	LREM
-3.2454327570306	-5.657689123182757	3	Agnès Firmin Le Bodo	UDI	UDI
-3.888457884545716	-0.3336903386675213	4	Agnès Thill	UDI	UDI
-7.993972670088044	-0.04377820156355534	5	Aina Kuric	UDI	UDI
22.521590273571576	10.646010640440567	6	Alain Bruneel	Divers Gauche	Divers Gauche
20.18374176265368	4.319828995458972	7	Alain David	PS	PS
-6.36050462312739	0.22762309158821178	8	Alain Perea	LREM	LREM
12.311684697216473	-12.724728627319363	9	Alain Ramadier	LR	LR
-3.5097912024347355	-1.3480831720713005	10	Alain Tourret	LREM	LREM
-9.112392554263444	4.161794528858868	11	Albane Gaillot	Non Inscrits	Non Inscrits
-9.93117957006214	2.9862032987480136	12	Alexandra Louis	LREM	LREM
-7.083835154296203	0.9064424931224698	13	Alexandra Valetta Ardisson	LREM	LREM
-9.257789214068154	0.3362256068717795	14	Alexandre Freschi	LREM	LREM
-7.105797347996404	-0.9538686216645162	15	Alexandre Holroyd	LREM	LREM
20.060209400508146	13.250708690379861	16	Alexis Corbière	FI	FI
-8.253115392989413	3.048841105999292	17	Alice Thourot	LREM	LREM
-0.5186258527703401	0.025307430153294216	19	Amélia Lakrafi	LREM	LREM
-5.000934313725755	9.792989865800692	20	Amélie de Montchalin	LREM	LREM
23.64937232715652	9.56259985211577	21	André Chassaigne	Divers Gauche	Divers Gauche
4.958630777058071	-2.7751556417087198	22	André Villiers	UDI	UDI
-7.391287896953824	-0.3141199592831519	23	Anissa Khedher	LREM	LREM
-9.261155495497821	0.808095502817308	24	Annaïg Le Meur	LREM	LREM
-4.888674935602719	0.6201929775982349	25	Anne Blanc	LREM	LREM
-7.875334847293033	0.9264694556708379	26	Anne Brugnera	LREM	LREM
-10.360694858085282	1.7285197205985072	27	Anne Genetet	LREM	LREM
-5.131040845596868	0.45171517358030494	28	Anne-Christine Lang	LREM	LREM
-4.631705661050502	0.36939028137517615	29	Anne-France Brunet	LREM	LREM
-6.064383931417948	-0.5394459680807905	31	Anne-Laure Cattelot	LREM	LREM
-7.351444632184599	1.1197709636751088	32	Anne-Laurence Petel	LREM	LREM
-6.634208966790584	1.5562177257021985	33	Annie Chapelier	UDI	UDI
12.58958608431745	-9.031550085198937	34	Annie Genevard	LR	LR
-11.90924010839964	-1.6435104601740682	35	Annie Vidal	LREM	LREM
-7.764729887411761	-1.1501010044818327	36	Anthony Cellier	LREM	LREM
0.6470798976818436	-2.8624652037898444	37	Antoine Herth	UDI	UDI
9.769152909277315	-4.59846892352048	38	Antoine Savignat	LR	LR
12.14278130107139	-10.686580402603678	39	Arnaud Viala	LR	LR
-6.422873050128288	0.05416398416597964	40	Aude Amadou	LREM	LREM
-8.403748300683349	-1.1498356236400196	41	Aude Bono-Vandorme	LREM	LREM
-7.877709377844473	0.8520584537027661	42	Aude Luquet		
-6.872334812394395	-0.7010103605544655	44	Audrey Dufeu Schubert	LREM	LREM
-9.785764698595688	-1.1663503382553084	45	Aurore Bergé	LREM	LREM
14.835597459363575	-6.051884178393258	46	Aurélien Pradié	LR	LR
-0.7449448105568328	0.7787743181523968	47	Aurélien Taché	Non Inscrits	Non Inscrits
-5.3090784631988575	-2.1521828784961365	48	Barbara Bessot Ballot	LREM	LREM
-6.426585215421309	2.5873368874760514	49	Barbara Pompili	LREM	LREM
20.66025614567691	12.55596317659298	50	Bastien Lachaud	FI	FI
-10.969196634632093	-0.6449416887898543	51	Belkhir Belhaddad	LREM	LREM
-8.746809764137552	-0.03228238553859251	52	Benjamin Dirx	LREM	LREM
-5.078195158487353	-1.6270033396330066	54	Benoit Simian	Libertés et Territoires	Libertés et Territoires
-6.692931950492878	-1.2064351924648882	55	Benoît Potterie	UDI	UDI
9.844262711949442	-2.5353383898674218	57	Bernard Brochand	LR	LR
8.871120528444221	-2.710352104972198	58	Bernard Deflesselles	LR	LR
10.153713093391646	-6.13134813014361	59	Bernard Perrut	LR	LR
9.455698509288135	-2.9532812789964575	60	Bernard Reynès	LR	LR
-13.465249028525854	0.2944626584067224	61	Bertrand Bouyx	LREM	LREM
6.924465357904869	0.33273932167003745	62	Bertrand Pancher	Libertés et Territoires	Libertés et Territoires
-7.191233275354152	-1.72247574005016	63	Bertrand Sorre	LREM	LREM
-9.630403823765976	1.4899948290543537	64	Blandine Brocard		
17.816102358829674	7.2380663571854	65	Boris Vallaud	PS	PS
-7.916737877267441	0.7449239640172265	66	Brahim Hammouche		
-12.272313303273243	-1.0051022679125217	67	Brigitte Bourguignon	LREM	LREM
13.318071462603742	-10.369733776228305	68	Brigitte Kuster	LR	LR
-9.522449645554998	-0.49751422508369453	69	Brigitte Liso	LREM	LREM
14.06574269891215	2.545663981786821	71	Bruno Bilde	Non Inscrits	Non Inscrits
-6.136279096782845	-0.9739063815314262	72	Bruno Bonnell	LREM	LREM
-5.743203197398424	1.6795146128864558	73	Bruno Duvergé		
-5.5276204022415545	-1.318179999587119	74	Bruno Fuchs		
-3.987897564103382	-1.02744418384249	75	Bruno Joncour		
-9.60438569092654	-1.1119759827687883	76	Bruno Millienne		
-14.536366342524397	4.631399952227682	78	Bruno Questel	LREM	LREM
-8.886340130546646	0.16539022295860226	79	Bruno Studer	LREM	LREM
-4.518722003141698	1.3662149487464181	80	Buon Tan	LREM	LREM
