axis_1	axis_2	id	name	party	state	info
-12.857931121774314	4.506899982655293	0	Alexander	Republican	TN	TN, Republican
22.762690485594533	-6.598297830140702	1	Baldwin	Democratic	WI	WI, Democratic
-20.55347409324556	0.4788537554114655	2	Barrasso	Republican	WY	WY, Republican
18.6137561044694	-0.23183514388300847	3	Bennet	Democratic	CO	CO, Democratic
-20.47445594609958	3.1721687284481264	4	Blackburn	Republican	TN	TN, Republican
26.598488056751084	3.1440115415875254	5	Blumenthal	Democratic	CT	CT, Democratic
-17.951048051950526	-1.376251911712216	6	Blunt	Republican	MO	MO, Republican
21.74893392108469	21.451747708633864	7	Booker	Democratic	NJ	NJ, Democratic
-18.744209719730655	-1.6862827696191243	8	Boozman	Republican	AR	AR, Republican
-20.40076015799991	4.719573066817839	9	Braun	Republican	IN	IN, Republican
22.46278075082234	-4.2222290257188355	10	Brown	Democratic	OH	OH, Democratic
-15.356128559807098	1.400906266190977	11	Burr	Republican	NC	NC, Republican
24.907944138785457	-1.67346442915797	12	Cantwell	Democratic	WA	WA, Democratic
-17.443765249083818	-0.46008514374376236	13	Capito	Republican	WV	WV, Republican
18.859923726700533	-9.08744302611846	14	Cardin	Democratic	MD	MD, Democratic
14.790440740941321	-11.021960938045721	15	Carper	Democratic	DE	DE, Democratic
19.613430431112512	-9.028300330975831	16	Casey	Democratic	PA	PA, Democratic
-17.745814949307867	1.3936589690124395	17	Cassidy	Republican	LA	LA, Republican
-11.765865840323258	-4.559527971210864	18	Collins	Republican	ME	ME, Republican
16.32287782056553	-9.842841614319669	19	Coons	Democratic	DE	DE, Democratic
-18.98831013807376	-0.9798269568655915	20	Cornyn	Republican	TX	TX, Republican
19.369331627382557	-9.96920236189609	21	Cortez Masto	Democratic	NV	NV, Democratic
-18.954670249705472	0.09167243209713387	22	Cotton	Republican	AR	AR, Republican
-18.27194474133746	-0.6789875905047098	23	Cramer	Republican	ND	ND, Republican
-19.757308520264967	-0.33625587953554437	24	Crapo	Republican	ID	ID, Republican
-19.664143324418855	5.006736776624101	25	Cruz	Republican	TX	TX, Republican
-18.7532799577657	1.0545557924397415	26	Daines	Republican	MT	MT, Republican
20.831106640048144	-6.751982064428092	27	Duckworth	Democratic	IL	IL, Democratic
19.033529824421837	-9.536637701872884	28	Durbin	Democratic	IL	IL, Democratic
-19.36838111609269	1.8415995453995904	29	Enzi	Republican	WY	WY, Republican
-18.71382420837006	0.6514194211195241	30	Ernst	Republican	IA	IA, Republican
17.519126954082463	-11.447596885334976	31	Feinstein	Democratic	CA	CA, Democratic
-19.02402484828365	0.4816198324750174	32	Fischer	Republican	NE	NE, Republican
-17.604788679170436	-1.4671052719969966	33	Gardner	Republican	CO	CO, Republican
28.773901559042017	25.40055954226706	34	Gillibrand	Democratic	NY	NY, Democratic
-17.02868009941041	-0.9819750119027589	35	Graham	Republican	SC	SC, Republican
-18.918549718386032	-0.6187287504817581	36	Grassley	Republican	IA	IA, Republican
18.33877360362989	25.446545356041153	37	Harris	Democratic	CA	CA, Democratic
15.215377669588934	-12.086025410094683	38	Hassan	Democratic	NH	NH, Democratic
-19.5528801062944	2.524790546093053	39	Hawley	Republican	MO	MO, Republican
22.6765446745671	-4.030890267352794	40	Heinrich	Democratic	NM	NM, Democratic
29.365520667082247	13.288739598853674	41	Hirono	Democratic	HI	HI, Democratic
-18.685875646155004	-1.0991986609677171	42	Hoeven	Republican	ND	ND, Republican
-18.67008687229096	-1.3293114954339629	43	Hyde-Smith	Republican	MS	MS, Republican
-19.836220108332967	1.4096094351420112	44	Inhofe	Republican	OK	OK, Republican
-19.351306942057423	1.8725482150108161	46	Johnson	Republican	WI	WI, Republican
5.206826162114722	-9.23111210212054	47	Jones	Democratic	AL	AL, Democratic
17.096151566066002	-10.719576319909699	48	Kaine	Democratic	VA	VA, Democratic
-19.568753911062036	4.290360310494839	50	Kennedy	Republican	LA	LA, Republican
13.835734329449592	-12.122649577000908	51	King	Independent	ME	ME, Independent
24.789842693562612	18.484229572974126	52	Klobuchar	Democratic	MN	MN, Democratic
-20.837422671256817	1.1035283025733797	53	Lankford	Republican	OK	OK, Republican
18.24076354367351	-9.859552092620273	54	Leahy	Democratic	VT	VT, Democratic
-18.255965640530306	9.558499020203847	55	Lee	Republican	UT	UT, Republican
2.5583076276666823	-9.381635283131814	57	Manchin	Democratic	WV	WV, Democratic
29.975709291587073	26.031892688308563	58	Markey	Democratic	MA	MA, Democratic
-17.743269457408758	-2.021701206301579	59	McConnell	Republican	KY	KY, Republican
-16.226345416392665	-0.5700940330835477	60	McSally	Republican	AZ	AZ, Republican
23.395399713032827	-2.921534697472129	61	Menendez	Democratic	NJ	NJ, Democratic
28.491091663061233	10.434075753109449	62	Merkley	Democratic	OR	OR, Democratic
-15.134079321573433	1.7605359814586863	63	Moran	Republican	KS	KS, Republican
-14.381533714318175	-0.3403276126927985	64	Murkowski	Republican	AK	AK, Republican
14.147482492284741	-10.5376070232254	65	Murphy	Democratic	CT	CT, Democratic
24.635927657052918	-0.8287179633722017	66	Murray	Democratic	WA	WA, Democratic
-14.342067053648725	14.155591974348678	67	Paul	Republican	KY	KY, Republican
-16.281150054247128	1.9571211182168742	68	Perdue	Republican	GA	GA, Republican
19.471463190684656	-9.148748729641204	69	Peters	Democratic	MI	MI, Democratic
-17.77371209545776	-1.9154367821025169	70	Portman	Republican	OH	OH, Republican
19.826117907022716	-9.028955324197756	71	Reed	Democratic	RI	RI, Democratic
-19.79630192937032	1.0467463226196754	72	Risch	Republican	ID	ID, Republican
